
27,NE,Nebraska,Lincoln,40.813620,-96.707739,258379,Western Meadowlark,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/750px-Flag_of_Nebraska.svg.png
28,NV,Nevada,Carson City,39.164885,-119.766999,55274,Mountain Bluebird,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Nevada.svg/750px-Flag_of_Nevada.svg.png
29,NH,New Hampshire,Concord,43.207250,-71.536604,42695,Purple Finch,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_New_Hampshire.svg/660px-Flag_of_New_Hampshire.svg.png
30,NJ,New Jersey,Trenton,40.217875,-74.759404,84913,Eastern Goldfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_New_Jersey.svg/750px-Flag_of_New_Jersey.svg.png
31,NM,New Mexico,Santa Fe,35.691543,-105.937406,67947,Roadrunner,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/1200px-Flag_of_New_Mexico.svg.png
32,NY,New York,Albany,42.651445,-73.755254,97856,Eastern Bluebird,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_New_York.svg/900px-Flag_of_New_York.svg.png
33,NC,North Carolina,Raleigh,35.785510,-78.642669,403892,Northern Cardinal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_North_Carolina.svg/750px-Flag_of_North_Carolina.svg.png
34,ND,North Dakota,Bismarck,46.805372,-100.779334,61272,Western Meadowlark,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Flag_of_North_Dakota.svg/575px-Flag_of_North_Dakota.svg.png
35,OH,Ohio,Columbus,39.961960,-83.002984,787033,Northern Cardinal,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/520px-Flag_of_Ohio.svg.png
36,OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999,Scissor-Tailed Flycatcher,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Oklahoma.svg/675px-Flag_of_Oklahoma.svg.png
37,OR,Oregon,Salem,44.933260,-123.043814,154637,Western Meadowlark,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Oregon.svg/750px-Flag_of_Oregon.svg.png
38,PA,Pennsylvania,Harrisburg,40.259865,-76.882230,49528,Ruffed Grouse,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/675px-Flag_of_Pennsylvania.svg.png
39,RI,Rhode Island,Providence,41.823875,-71.411994,178042,Rhode Island Red,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rhode_Island.svg/685px-Flag_of_Rhode_Island.svg.png
40,SC,South Carolina,Columbia,33.998550,-81.045249,129272,Carolina Wren,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/750px-Flag_of_South_Carolina.svg.png
41,SD,South Dakota,Pierre,44.368924,-100.350158,13646,Ring-necked Pheasant,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_South_Dakota.svg/720px-Flag_of_South_Dakota.svg.png
42,TN,Tennessee,Nashville,36.167783,-86.778365,601222,Northern Mockingbird,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Tennessee.svg/500px-Flag_of_Tennessee.svg.png
43,TX,Texas,Austin,30.267605,-97.742984,790390,Northern Mockingbird,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Texas.svg/1080px-Flag_of_Texas.svg.png
44,UT,Utah,Salt Lake City,40.759505,-111.888229,186440,California gull,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Utah_%28enhanced_variant%29.svg/1280px-Flag_of_Utah_%28enhanced_variant%29.svg.png
45,VT,Vermont,Montpelier,44.260299,-72.576264,7855,Hermit Thrush,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Vermont.svg/750px-Flag_of_Vermont.svg.png
46,VA,Virginia,Richmond,37.540700,-77.433654,204214,Northern Cardinal,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Virginia.svg/1280px-Flag_of_Virginia.svg.png
47,WA,Washington,Olympia,47.039231,-122.891366,46478,Willow Goldfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Washington.svg/1106px-Flag_of_Washington.svg.png
48,WV,West Virginia,Charleston,38.350195,-81.638989,51400,Northern Cardinal,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_West_Virginia.svg/760px-Flag_of_West_Virginia.svg.png
49,WI,Wisconsin,Madison,43.072950,-89.386694,233209,American Robin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_Wisconsin.svg/675px-Flag_of_Wisconsin.svg.png
50,WY,Wyoming,Cheyenne,41.134815,-104.821544,59466,Western Meadowlark,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Wyoming.svg/1000px-Flag_of_Wyoming.svg.png
